name,p,diff,marketing_mean,holdout_mean
is_entitled,0.8105588822166219,-0.07057673969019795,0.7557035334200936,0.7562372610232462
ttl_login_days_l7,0.10765488561296359,0.800648344852295,3.0644083682432326,3.040068113212415
ttl_login_days_itd,0.0003484606258697223,1.3111884209303426,31.826021516952544,31.41412317139245
ttl_streams_l7,0.5877536109424235,0.6880326093638311,7.9632884016807415,7.908872777935447
ttl_streams_itd,0.4038599534908429,0.6811978849967204,102.56366795118208,101.86973348125596
streaming_profiles_l7,0.1345750847492125,1.0573913339256835,0.6017189497160239,0.5954229985293739
streaming_profiles_itd,0.35360098522129313,0.4217917549067973,1.5237508694491149,1.5173508088443974
general_streaming_profiles_l7,0.10340142501384905,1.138396667361663,0.5688007354563196,0.5623984106917103
general_streaming_profiles_itd,0.38828351829260566,0.38098681488087927,1.4555100645001948,1.4499858097474134
kids_streaming_profiles_l7,0.8082358412850832,-0.7785323296717661,0.033151474659582306,0.03341159472638613
kids_streaming_profiles_itd,0.7393987522077656,0.7886464726959641,0.07603550202176604,0.07544054284166259
streaming_devices_l7,0.37050051218424573,0.6763168436337841,0.8021065208419751,0.7967181815836322
streaming_devices_itd,0.21166293402978992,0.6110140422881827,2.9536687850088503,2.935731056012797
ttl_stream_days_l7,0.7962820772977304,0.19238097053166925,1.5037516927211145,1.5008643153848138
ttl_stream_days_itd,0.0796235383816444,0.816260576415706,19.013303231131502,18.8593616966382
ttl_stream_days_general_profiles_l7,0.631870155946183,0.39749369417181324,1.6124626493104042,1.60607858819887
ttl_stream_days_general_profiles_itd,0.08509022648114639,0.9473282317681964,21.136613544513157,20.938259501019118
ttl_stream_days_kids_profiles_l7,0.5533068199162368,-2.182495334799861,0.09315111579742864,0.09522949508501251
ttl_stream_days_kids_profiles_itd,0.9719478401672303,-0.10953750989324273,0.8998362955293164,0.9008230346500168
ttl_stream_time_ms_l7,0.7194141057757851,0.41091959272219203,12589838.993693525,12538316.594210377
ttl_stream_time_ms_itd,0.12802851939365037,1.1117692087865505,175582037.3357261,173651434.16011766
ttl_stream_time_general_profiles_ms_l7,0.6421551350134442,0.5406302228198268,11982728.213437488,11918294.31234036
ttl_stream_time_general_profiles_ms_itd,0.12563552088357796,1.1187796416740392,169559898.6348736,167683885.46195722
ttl_stream_time_kids_profiles_ms_l7,0.6696570887152133,-2.082425421073253,607110.7802560376,620022.2818700173
ttl_stream_time_kids_profiles_ms_itd,0.8190477291200551,0.9147810173532278,6022138.700852509,5967548.698160428
ttl_stream_time_web_ms_l7,0.15471995050937679,-5.637029106477886,643730.5904665103,682185.5907789159
ttl_stream_time_web_ms_itd,0.5728144558710808,-1.1789505076263973,11079996.925220516,11212183.013777446
ttl_stream_time_mobile_ms_l7,0.5931411622168827,1.0639795841810962,3039177.503276728,3007181.703888129
ttl_stream_time_mobile_ms_itd,0.6708661096079056,0.5149195553467267,43559008.883053154,43335864.044608995
ttl_stream_time_connected_tv_ms_l7,0.6694498416308723,0.5879901040076296,8790973.846104076,8739585.945612632
tl_stream_time_connected_tv_ms_itd,0.05541340215011004,1.7497610725397905,118131673.96830826,116100197.90030703
days_since_last_stream,,-0.7823396435366559,17.048540840787776,17.182970027247958
ttl_login_days_l7_bin,0.18557982888866714,0.5062025327113417,0.649806478306255,0.6465337083000078
ttl_login_days_itd_bin,0.7748481006148652,-0.00021109538450581056,0.9999978890461549,1.0
ttl_streams_l7_bin,0.13021304937957603,0.8668642544858107,0.4543289858238895,0.4504244175546325
ttl_streams_itd_bin,0.012232834593530062,0.2999571686314484,0.9497170794109172,0.9468768544080085
general_streaming_profiles_l7_bin,0.0790405545327679,1.0219386528712127,0.44733856216600754,0.44281328207642096
general_streaming_profiles_itd_bin,0.0105152683268737,0.30832100688293895,0.9490975144573951,0.9461802420083077
kids_streaming_profiles_l7_bin,0.677965845244259,1.2719051259482583,0.02850632072355054,0.028148301039758506
kids_streaming_profiles_itd_bin,0.3067591301527079,2.181834669217597,0.05792035160047243,0.05668360896823964
ttl_stream_time_web_ms_l7_bin,0.6576092128991571,-0.9942003342893302,0.04973407258936987,0.05023349415619598
ttl_stream_time_web_ms_itd_bin,0.29222184243483856,-0.9406502968772879,0.24839593894699288,0.2507546634330091
ttl_stream_time_mobile_ms_l7_bin,0.07514321889684289,1.8299906393170584,0.20836803213716135,0.2046234422972729
ttl_stream_time_mobile_ms_itd_bin,0.46019530862505387,0.30790111551672883,0.6085658285124425,0.6066977992208261
ttl_stream_time_connected_tv_ms_l7_bin,0.7370481482139776,0.24736727639922407,0.33209736985705673,0.3312778967465621
tl_stream_time_connected_tv_ms_itd_bin,0.009050724472141322,0.848521684807757,0.7211271649151028,0.7150597280631595
days_since_last_stream_bin,0.7400482451541783,-0.10407117375886843,0.7314550066020081,0.7322170334631957
